SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
mortin,2,9,False,https://www.amazon.com/Ovasitol-Inositol-Powder-D-Chiro-Canister/dp/B078GVS65S/ref=sr_1_57,"Theralogix Ovasitol Myo-Inositol & D-Chiro Inositol Powder 90 Day Supply | Optimal 40:1 Ratio of 4,000mg Myo Inositol & 100mg D-Chiro Inositol Daily | Hormonal & Ovarian Support for Women",B078GVS65S,"$87
00",$109.00,"6,072",4.6 out of 5 stars
mortin,2,10,False,https://www.amazon.com/Advil-Vial-Tablets-10-ct/dp/B002OTLMRK/ref=sr_1_58,"Advil Coated Tablets Pain Reliever and Fever Reducer, Ibuprofen 200mg, Vial, Fast Pain Relief, Pocket Pack, 10 Count",B002OTLMRK,,,110,4.6 out of 5 stars
mortin,2,11,False,https://www.amazon.com/Garden-Life-mykind-Organics-Elderberry/dp/B07G2PQ4RF/ref=sr_1_59,"Garden of Life Mykind Organics Plant Based Elderberry Immune Syrup 6.59 fl oz (195 Ml) for Kids & Adults: Sambucus, Echinacea, Zinc & Vitamin C, 0g Sugar, Organic Vegan Gluten Free Herbal Supplement",B07G2PQ4RF,"$25
19",,"2,297",4.6 out of 5 stars
mortin,2,12,False,https://www.amazon.com/SHARPER-Electric-Tabletop-Smores-Indoors/dp/B07BQYX634/ref=sr_1_60,"SHARPER IMAGE Electric Tabletop S'mores Maker for Indoors, 6-Piece Set, Includes 4 Skewers & 4 Serving Compartments, Easy Cleaning & Storage, Tabletop Marshmallow Roaster, Family Fun For Kids Adults",B07BQYX634,"$39
50",$60.99,"1,133",4.4 out of 5 stars
mortin,2,13,False,https://www.amazon.com/Chicago-Metallic-5242256-Smores-Maker/dp/B07G1QYQH8/ref=sr_1_61,"Chicago Metallic Smores Maker, White Small",B07G1QYQH8,"$30
40",,662,4.6 out of 5 stars
mortin,2,14,False,https://www.amazon.com/Morton-All-Natural-Himalayan-Salt-McCormick/dp/B0899D8JX7/ref=sr_1_62,"Morton All-Natural Himalayan Pink Salt & McCormick Pepper Shakers, 5.25 Ounce",B0899D8JX7,"$3
99",$5.00,"3,239",4.7 out of 5 stars
mortin,2,15,False,https://www.amazon.com/Emergen-C-Dietary-Supplement-Vitamin-Caffeine/dp/B00NNOV1US/ref=sr_1_63,"Emergen-C 1000mg Vitamin C Powder for Daily Immune Support Caffeine Free Vitamin C Supplements with Zinc and Manganese, B Vitamins and Electrolytes, Super Orange Flavor - 60 Count/2 Month Supply",B00NNOV1US,,,"31,039",4.8 out of 5 stars
mortin,2,16,False,https://www.amazon.com/Knox-Gelatine-Unflavored-Count-Ounce/dp/B00BCMU7T4/ref=sr_1_64,Knox Unflavored Gelatin (4 Envelopes),B00BCMU7T4,,,"4,010",4.6 out of 5 stars
mortin,2,17,False,https://www.amazon.com/ZenToes-Metatarsal-Pads-Women-Metatarsalgia/dp/B0BMB5848C/ref=sr_1_65,"ZenToes Metatarsal Pads for Men and Women - Ball of Foot Pain Relief Cushions for Sesamoiditis, Metatarsalgia, Morton's Neuroma - 2 Pairs Fabric Sleeves with Gel Inserts (Medium, Beige)",B0BMB5848C,"$14
99",,"15,589",3.6 out of 5 stars
mortin,2,18,False,https://www.amazon.com/McCormick-Sea-Salt-Grinder-2-12/dp/B00I9VBE5W/ref=sr_1_66,"McCormick Sea Salt Grinder, 2.12 oz",B00I9VBE5W,"$2
32",,"7,499",4.8 out of 5 stars
