SearchTerm,PageNum,Rank,Sponsered,ProductURL,Title,ASIN,SalesPrice,ListPrice,RatingsCount,AvgRating
pepsico,2,29,False,https://www.amazon.com/Rockstar-Caffeine-Electrolytes-Recovery-Pineapple/dp/B0B2X9XTQV/ref=sr_1_77,Rockstar Recovery Pineapple Coconut 16oz 12pk,B0B2X9XTQV,,,210,4.3 out of 5 stars
pepsico,2,30,False,https://www.amazon.com/Red-Bull-Energy-Drink-Cans/dp/B001E14118/ref=sr_1_78,"Red Bull Energy Drink, 8.4 Fl Oz (4 Pack)",B001E14118,,,"8,566",4.8 out of 5 stars
pepsico,2,31,False,https://www.amazon.com/PopCorners-Popped-Snacks-Flavor-Variety/dp/B0039HUTAW/ref=sr_1_79,"PopCorners Popped Corn Snacks, 4 Flavor Variety Pack, 1oz Bags (30 Pack) - Healthy Snacks, Never Fried, Gluten Free, and Non-GMO with White Cheddar, Kettle Corn, Sea Salt, and Spicy Queso Flavors",B0039HUTAW,"$28
99",,,
pepsico,2,32,False,https://www.amazon.com/Nut-Harvest-Honey-Roasted-Cashews/dp/B0BYG1LZRS/ref=sr_1_80,Nut Harvest Honey Roasted Cashews (16 Count),B0BYG1LZRS,,,"20,699",4.5 out of 5 stars
pepsico,2,33,False,https://www.amazon.com/Pure-Leaf-Subtly-Sweet-Bottles/dp/B09QQQHP2P/ref=sr_1_81,"Pure Leaf Iced Tea, Subtly Sweet Peach, Lower Sugar, 18.5 Fl Oz (Pack of 12)",B09QQQHP2P,,,457,4.4 out of 5 stars
pepsico,2,34,False,https://www.amazon.com/Propel-Packets-Electrolytes-Vitamins-Packaging/dp/B096Z467PZ/ref=sr_1_82,"Propel Powder Packets, Black Cherry With Electrolytes, Vitamins and No Sugar (Packaging May Vary), 10 Count (Pack of 12)",B096Z467PZ,,,"12,120",4.8 out of 5 stars
pepsico,2,35,False,https://www.amazon.com/Fritos-Original-Variety-Single-Portions/dp/B095FNTWJT/ref=sr_1_83,"Fritos Original Corn Chips & Bean Dip Cups Variety Pack, Single Serve Portions, 24 Count",B095FNTWJT,,,"19,683",4.6 out of 5 stars
pepsico,2,36,False,https://www.amazon.com/Mtn-Dew-Kickstart-Energy-Drink/dp/B004VNAG24/ref=sr_1_84,"Mtn Dew Kickstart Energy Drink - Variety Pack: Variety Pack: Fruit Punch, Black Cherry, Orange Citrus, Pineapple Orange Mango 16fl.oz. (Pack of 12)",B004VNAG24,,,72,4.2 out of 5 stars
pepsico,2,37,False,https://www.amazon.com/Tostitos-Roasted-Chili-Pepper-Topper/dp/B0BGJNHFC9/ref=sr_1_85,"Tostitos Fire Roasted Red Chili Pepper Topper, 9oz",B0BGJNHFC9,,,,
pepsico,2,38,False,https://www.amazon.com/Frito-Lay-Flavor-Mega-Size-Variety/dp/B09VJ5ZCVK/ref=sr_1_86,"Frito-Lay Flavor Mix Mega Size Variety Pack, 42 Ct",B09VJ5ZCVK,,,16,4.5 out of 5 stars
